HDR,ROLLING SYSTEM DEMAND
VD,20210102201000,36944
VD,20210102201500,36822
VD,20210102202000,36679
VD,20210102202500,36437
VD,20210102203000,36023
VD,20210102203500,35881
VD,20210102204000,35630
VD,20210102204500,35374
VD,20210102205000,35143
VD,20210102205500,35039
VD,20210102210000,35039
VD,20210102210500,34979
VD,20210102211000,34705
VD,20210102211500,34384
VD,20210102212000,34095
VD,20210102212500,33905
VD,20210102213000,33651
VD,20210102213500,33444
VD,20210102214000,33173
VD,20210102214500,32985
VD,20210102215000,32809
VD,20210102215500,32576
VD,20210102220000,32213
VD,20210102220500,31935
VD,20210102221000,31729
VD,20210102221500,31429
VD,20210102222000,31156
VD,20210102222500,30898
VD,20210102223000,30681
VD,20210102223500,30530
VD,20210102224000,30262
VD,20210102224500,30012
VD,20210102225000,29782
VD,20210102225500,29528
VD,20210102230000,29256
VD,20210102230500,28987
VD,20210102231000,28667
VD,20210102231500,28376
VD,20210102232000,28122
VD,20210102232500,27858
VD,20210102233000,27733
VD,20210102233500,27725
VD,20210102234000,27683
VD,20210102234500,27568
VD,20210102235000,27451
VD,20210102235500,27347
VD,20210103000000,27145
VD,20210103000500,27192
VD,20210103001000,27258
VD,20210103001500,27186
VD,20210103002000,27019
VD,20210103002500,26812
VD,20210103003000,26739
VD,20210103003500,26995
VD,20210103004000,27150
VD,20210103004500,27213
VD,20210103005000,27215
VD,20210103005500,27245
VD,20210103010000,27200
VD,20210103010500,27113
VD,20210103011000,27057
VD,20210103011500,26922
VD,20210103012000,26710
VD,20210103012500,26576
VD,20210103013000,26466
VD,20210103013500,26383
VD,20210103014000,26266
VD,20210103014500,26153
VD,20210103015000,26052
VD,20210103015500,25935
VD,20210103020000,25886
VD,20210103020500,25728
VD,20210103021000,25645
VD,20210103021500,25630
VD,20210103022000,25637
VD,20210103022500,25526
VD,20210103023000,25440
VD,20210103023500,25463
VD,20210103024000,25317
VD,20210103024500,25390
VD,20210103025000,25363
VD,20210103025500,25462
VD,20210103030000,25445
VD,20210103030500,25530
VD,20210103031000,25516
VD,20210103031500,25389
VD,20210103032000,25261
VD,20210103032500,25143
VD,20210103033000,25114
VD,20210103033500,24882
VD,20210103034000,24715
VD,20210103034500,24675
VD,20210103035000,24632
VD,20210103035500,24709
VD,20210103040000,24879
VD,20210103040500,24985
VD,20210103041000,24970
VD,20210103041500,24887
VD,20210103042000,24770
VD,20210103042500,24717
VD,20210103043000,24733
VD,20210103043500,24712
VD,20210103044000,24633
VD,20210103044500,24573
VD,20210103045000,24605
VD,20210103045500,24506
VD,20210103050000,24594
VD,20210103050500,24753
VD,20210103051000,25018
VD,20210103051500,25046
VD,20210103052000,24988
VD,20210103052500,24883
VD,20210103053000,24783
VD,20210103053500,24858
VD,20210103054000,25012
VD,20210103054500,25004
VD,20210103055000,25018
VD,20210103055500,25058
VD,20210103060000,25201
VD,20210103060500,25579
VD,20210103061000,25673
VD,20210103061500,25704
VD,20210103062000,25607
VD,20210103062500,25505
VD,20210103063000,25513
VD,20210103063500,25691
VD,20210103064000,25827
VD,20210103064500,25968
VD,20210103065000,26049
VD,20210103065500,26213
VD,20210103070000,26305
VD,20210103070500,26106
VD,20210103071000,26129
VD,20210103071500,26279
VD,20210103072000,26454
VD,20210103072500,26639
VD,20210103073000,26760
VD,20210103073500,26882
VD,20210103074000,26791
VD,20210103074500,26690
VD,20210103075000,26701
VD,20210103075500,26659
VD,20210103080000,26667
VD,20210103080500,27118
VD,20210103081000,27399
VD,20210103081500,27535
VD,20210103082000,27501
VD,20210103082500,27669
VD,20210103083000,27927
VD,20210103083500,28215
VD,20210103084000,28605
VD,20210103084500,28860
VD,20210103085000,29158
VD,20210103085500,29471
VD,20210103090000,29626
VD,20210103090500,29948
VD,20210103091000,30281
VD,20210103091500,30588
VD,20210103092000,30747
VD,20210103092500,31032
VD,20210103093000,31385
VD,20210103093500,31667
VD,20210103094000,31784
VD,20210103094500,31885
VD,20210103095000,32119
VD,20210103095500,32405
VD,20210103100000,32616
VD,20210103100500,32942
VD,20210103101000,33181
VD,20210103101500,33250
VD,20210103102000,33460
VD,20210103102500,33662
VD,20210103103000,33754
VD,20210103103500,33943
VD,20210103104000,33962
VD,20210103104500,33999
VD,20210103105000,34071
VD,20210103105500,34387
VD,20210103110000,34416
VD,20210103110500,34562
VD,20210103111000,34690
VD,20210103111500,34912
VD,20210103112000,35047
VD,20210103112500,35066
VD,20210103113000,35110
VD,20210103113500,35192
VD,20210103114000,35300
VD,20210103114500,35437
VD,20210103115000,35495
VD,20210103115500,35523
VD,20210103120000,32635
VD,20210103120500,32706
VD,20210103121000,32846
VD,20210103121500,32876
VD,20210103122000,32862
VD,20210103122500,36014
VD,20210103123000,36068
VD,20210103123500,36200
VD,20210103124000,36270
VD,20210103124500,36429
VD,20210103125000,36469
VD,20210103125500,36410
VD,20210103130000,36257
VD,20210103130500,36342
VD,20210103131000,36394
VD,20210103131500,36311
VD,20210103132000,36394
